prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
19000.0,Rabat,2.0,3.0,souissi,1.0,2.0,129.0,147.28682170542635
3000.0,Bouskoura,2.0,2.0,bouskoura centre,1.0,2.0,80.0,37.5
5000.0,Casablanca,3.0,1.0,oulfa,1.0,5.0,90.0,55.55555555555556
10000.0,Casablanca,2.0,2.0,gauthier,1.0,4.0,65.0,153.84615384615384
6000.0,Kénitra,2.0,2.0,maamora,1.0,2.0,85.0,70.58823529411765
7000.0,Zenata,1.0,1.0,toute la ville,1.0,1.0,60.0,116.66666666666667
14000.0,Casablanca,3.0,2.0,val fleuri,1.0,1.0,177.0,79.09604519774011
13000.0,Rabat,3.0,3.0,hay riad,1.0,6.0,160.0,81.25
6900.0,Casablanca,1.0,1.0,gauthier,1.0,4.0,60.0,115.0
10000.0,Rabat,3.0,2.0,quartier de l'ocean,2.0,5.0,110.0,90.9090909090909
7200.0,Rabat,3.0,2.0,diour jamaa,1.0,5.0,120.0,60.0
14000.0,Casablanca,3.0,2.0,val fleuri,1.0,1.0,177.0,79.09604519774011
13000.0,Rabat,3.0,3.0,hay riad,1.0,6.0,160.0,81.25
6900.0,Casablanca,1.0,1.0,gauthier,1.0,4.0,60.0,115.0
10000.0,Rabat,3.0,2.0,quartier de l'ocean,2.0,5.0,110.0,90.9090909090909
7200.0,Rabat,3.0,2.0,diour jamaa,1.0,5.0,120.0,60.0
6500.0,Casablanca,1.0,1.0,quartier des hopitaux,1.0,1.0,60.0,108.33333333333333
6500.0,Marrakech,1.0,1.0,gueliz,1.0,4.0,47.0,138.29787234042553
4700.0,El Jadida,2.0,2.0,autre secteur,2.0,2.0,100.0,47.0
6500.0,Casablanca,2.0,1.0,quartier des hopitaux,1.0,2.0,60.0,108.33333333333333
3000.0,Casablanca,2.0,2.0,sidi maarouf,1.0,2.0,90.0,33.333333333333336
2800.0,Berrechid,2.0,2.0,toute la ville,1.0,3.0,70.0,40.0
15000.0,Rabat,2.0,1.0,agdal,1.0,3.0,110.0,136.36363636363637
2000.0,Salé,1.0,2.0,roustal,1.0,3.0,50.0,40.0
9000.0,Casablanca,2.0,1.0,casablanca finance city,1.0,1.0,75.0,120.0
8500.0,Casablanca,3.0,2.0,maarif,1.0,3.0,120.0,70.83333333333333
21000.0,Casablanca,3.0,2.0,casablanca finance city,2.0,5.0,141.0,148.93617021276594
9500.0,Casablanca,2.0,2.0,almaz,1.0,2.0,107.0,88.78504672897196
3000.0,Marrakech,2.0,1.0,bouaakkaz,1.0,4.0,85.0,35.294117647058826
3900.0,Kénitra,2.0,2.0,autre secteur,1.0,2.0,75.0,52.0
8000.0,El Mansouria,3.0,3.0,toute la ville,1.0,2.0,170.0,47.05882352941177
4000.0,Casablanca,1.0,1.0,bourgogne,1.0,1.0,40.0,100.0
6000.0,Casablanca,1.0,1.0,maarif,1.0,3.0,50.0,120.0
24000.0,Rabat,2.0,2.0,souissi,1.0,5.0,200.0,120.0
1100.0,Casablanca,2.0,2.0,ain sebaa,1.0,2.0,75.0,14.666666666666666
2900.0,Bouznika,2.0,2.0,autre secteur,1.0,2.0,100.0,29.0
3300.0,Casablanca,1.0,1.0,maarif,1.0,2.0,60.0,55.0
6500.0,Casablanca,2.0,2.0,quartier des hopitaux,1.0,4.0,97.0,67.01030927835052
1600.0,Mohammedia,3.0,1.0,autre secteur,1.0,3.0,60.0,26.666666666666668
6500.0,Casablanca,2.0,2.0,californie,1.0,4.0,90.0,72.22222222222223
6500.0,Casablanca,2.0,1.0,almaz,1.0,1.0,74.0,87.83783783783784
1100.0,Casablanca,2.0,2.0,ain sebaa,1.0,2.0,75.0,14.666666666666666
2900.0,Bouznika,2.0,2.0,autre secteur,1.0,2.0,100.0,29.0
3300.0,Casablanca,1.0,1.0,maarif,1.0,2.0,60.0,55.0
6500.0,Casablanca,2.0,2.0,quartier des hopitaux,1.0,4.0,97.0,67.01030927835052
1600.0,Mohammedia,3.0,1.0,autre secteur,1.0,3.0,60.0,26.666666666666668
6500.0,Casablanca,2.0,2.0,californie,1.0,4.0,90.0,72.22222222222223
6500.0,Casablanca,2.0,1.0,almaz,1.0,1.0,74.0,87.83783783783784
6000.0,Casablanca,3.0,2.0,sidi maarouf,1.0,2.0,109.0,55.04587155963303
6200.0,Rabat,1.0,1.0,agdal,1.0,1.0,58.0,106.89655172413794
4200.0,Casablanca,2.0,1.0,sidi maarouf,1.0,3.0,73.0,57.534246575342465
2800.0,Casablanca,2.0,2.0,errahma,1.0,2.0,63.0,44.44444444444444
8000.0,Tanger,2.0,1.0,malabata,2.0,4.0,100.0,80.0
5000.0,Casablanca,1.0,1.0,palmier,1.0,2.0,53.0,94.33962264150944
8500.0,Rabat,2.0,1.0,hay riad,1.0,2.0,90.0,94.44444444444444
13500.0,Rabat,4.0,2.0,agdal,1.0,3.0,160.0,84.375
5250.0,Casablanca,1.0,1.0,oulfa,1.0,5.0,45.0,116.66666666666667
11000.0,Rabat,3.0,3.0,hay riad,1.0,2.0,167.0,65.86826347305389
7500.0,Casablanca,1.0,1.0,palmier,1.0,2.0,42.0,178.57142857142858
12000.0,Rabat,3.0,2.0,haut agdal,2.0,5.0,134.0,89.55223880597015
5250.0,Casablanca,1.0,1.0,oulfa,1.0,5.0,45.0,116.66666666666667
11000.0,Rabat,3.0,3.0,hay riad,1.0,2.0,167.0,65.86826347305389
7500.0,Casablanca,1.0,1.0,palmier,1.0,2.0,42.0,178.57142857142858
6500.0,Casablanca,1.0,1.0,racine,1.0,2.0,57.0,114.03508771929825
8000.0,Casablanca,2.0,2.0,californie,1.0,2.0,96.0,83.33333333333333
7000.0,Temara,2.0,2.0,riad oulad mtaa,1.0,2.0,90.0,77.77777777777777
5500.0,Casablanca,2.0,2.0,belvedere,1.0,2.0,84.0,65.47619047619048
8800.0,Casablanca,3.0,2.0,californie,1.0,2.0,130.0,67.6923076923077
8500.0,Rabat,2.0,2.0,hay riad,1.0,5.0,95.0,89.47368421052632
7500.0,Casablanca,1.0,1.0,palmier,1.0,2.0,42.0,178.57142857142858
6500.0,Casablanca,1.0,1.0,racine,1.0,2.0,57.0,114.03508771929825
8000.0,Casablanca,2.0,2.0,californie,1.0,2.0,96.0,83.33333333333333
7000.0,Temara,2.0,2.0,riad oulad mtaa,1.0,2.0,90.0,77.77777777777777
5500.0,Casablanca,2.0,2.0,belvedere,1.0,2.0,84.0,65.47619047619048
8800.0,Casablanca,3.0,2.0,californie,1.0,2.0,130.0,67.6923076923077
8800.0,Casablanca,3.0,2.0,californie,1.0,2.0,130.0,67.6923076923077
6500.0,Casablanca,1.0,1.0,quartier des hopitaux,1.0,2.0,53.0,122.64150943396227
7500.0,Casablanca,3.0,2.0,nassim,2.0,1.0,175.0,42.857142857142854
3400.0,Fès,2.0,2.0,agdal,2.0,1.0,110.0,30.90909090909091
