prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
980000.0,Casablanca,2.0,1.0,la gironde,1.0,4.0,94.0,10425.531914893618
11000.0,Casablanca,2.0,2.0,ain sebaa,1.0,4.0,84.0,130.95238095238096
2900000.0,Rabat,3.0,2.0,autre secteur,2.0,2.0,210.0,13809.52380952381
850000.0,Casablanca,1.0,1.0,maarif,1.0,2.0,47.0,18085.106382978724
560000.0,Kénitra,2.0,1.0,mimosas,1.0,5.0,65.0,8615.384615384615
1670000.0,Tanger,2.0,2.0,centre ville,1.0,2.0,104.0,16057.692307692309
1930000.0,Marrakech,3.0,2.0,gueliz,1.0,5.0,144.0,13402.777777777777
1140000.0,Agadir,3.0,2.0,hay mohammadi,1.0,3.0,104.0,10961.538461538461
500000.0,Kénitra,2.0,1.0,al maghrib al arabi,1.0,1.0,90.0,5555.555555555556
943000.0,Casablanca,3.0,2.0,ain sebaa,1.0,3.0,82.0,11500.0
2000000.0,Casablanca,3.0,2.0,val fleuri,1.0,2.0,143.0,13986.013986013986
560000.0,Kénitra,2.0,1.0,mimosas,1.0,5.0,65.0,8615.384615384615
1670000.0,Tanger,2.0,2.0,centre ville,1.0,2.0,104.0,16057.692307692309
1930000.0,Marrakech,3.0,2.0,gueliz,1.0,5.0,144.0,13402.777777777777
1140000.0,Agadir,3.0,2.0,hay mohammadi,1.0,3.0,104.0,10961.538461538461
500000.0,Kénitra,2.0,1.0,al maghrib al arabi,1.0,1.0,90.0,5555.555555555556
943000.0,Casablanca,3.0,2.0,ain sebaa,1.0,3.0,82.0,11500.0
1350000.0,Marrakech,3.0,2.0,av abdelkrim el khattabi,1.0,3.0,128.0,10546.875
640000.0,Casablanca,2.0,2.0,oulfa,1.0,3.0,67.0,9552.23880597015
1800000.0,Casablanca,3.0,2.0,bachkou,1.0,2.0,109.0,16513.761467889908
2300000.0,Casablanca,3.0,2.0,maarif,2.0,5.0,165.0,13939.39393939394
650000.0,Kénitra,2.0,1.0,autre secteur,1.0,1.0,120.0,5416.666666666667
1700000.0,Marrakech,2.0,2.0,gueliz,1.0,2.0,74.0,22972.972972972973
1050000.0,Kénitra,3.0,2.0,centre,1.0,1.0,134.0,7835.820895522388
1500000.0,Agadir,1.0,1.0,le centre-ville,1.0,2.0,50.0,30000.0
1104900.0,Casablanca,1.0,1.0,palmier,1.0,5.0,71.0,15561.971830985916
1800000.0,Rabat,3.0,2.0,autre secteur,1.0,5.0,130.0,13846.153846153846
335000.0,Casablanca,2.0,1.0,oulfa,1.0,1.0,52.0,6442.307692307692
1900000.0,Marrakech,3.0,2.0,route de casablanca,1.0,5.0,131.0,14503.81679389313
580000.0,Kénitra,2.0,1.0,mimosas,1.0,5.0,65.0,8923.076923076924
1400000.0,Casablanca,3.0,2.0,nassim,1.0,2.0,214.0,6542.056074766355
